"tt0118694","In the Mood for Love","2000","movie","98","8.1","119514"
"tt0120630","Chicken Run","2000","movie","84","7","174216"
"tt0120679","Frida","2002","movie","123","7.4","79818"
"tt0120737","The Lord of the Rings: The Fellowship of the Ring","2001","movie","178","8.8","1622297"
"tt0120903","X-Men","2000","movie","104","7.4","562639"
"tt0120917","The Emperor's New Groove","2000","movie","78","7.3","175564"
"tt0121164","Corpse Bride","2005","movie","77","7.3","237744"
"tt0121766","Star Wars: Episode III - Revenge of the Sith","2005","movie","140","7.5","695155"
"tt0126029","Shrek","2001","movie","90","7.8","600991"
"tt0133240","Treasure Planet","2002","movie","95","7.2","99708"
"tt0134847","Pitch Black","2000","movie","109","7.1","222892"
"tt0139654","Training Day","2001","movie","122","7.7","382104"
"tt0144084","American Psycho","2000","movie","101","7.6","474622"
"tt0145487","Spider-Man","2002","movie","121","7.3","676024"
"tt0146309","Thirteen Days","2000","movie","145","7.3","53176"
"tt0146882","High Fidelity","2000","movie","113","7.5","165711"
"tt0159365","Cold Mountain","2003","movie","154","7.2","138145"
"tt0162222","Cast Away","2000","movie","143","7.8","511619"
"tt0162346","Ghost World","2001","movie","111","7.3","111743"
"tt0166813","Spirit: Stallion of the Cimarron","2002","movie","83","7.1","63632"
"tt0166924","Mulholland Dr.","2001","movie","147","8","313612"
"tt0167260","The Lord of the Rings: The Return of the King","2003","movie","201","8.9","1606641"
"tt0167261","The Lord of the Rings: The Two Towers","2002","movie","179","8.7","1451960"
"tt0168629","Dancer in the Dark","2000","movie","140","8","100213"
"tt0169102","Lagaan: Once Upon a Time in India","2001","movie","224","8.1","102763"
"tt0172495","Gladiator","2000","movie","155","8.5","1310351"
"tt0180073","Quills","2000","movie","124","7.3","50974"
"tt0180093","Requiem for a Dream","2000","movie","102","8.3","749658"
"tt0181536","Finding Forrester","2000","movie","136","7.3","81590"
"tt0181689","Minority Report","2002","movie","145","7.6","499483"
"tt0181865","Traffic","2000","movie","147","7.6","193393"
"tt0181875","Almost Famous","2000","movie","122","7.9","247984"
"tt0183649","Phone Booth","2002","movie","81","7","247986"
"tt0185014","Wonder Boys","2000","movie","107","7.2","60609"
"tt0186151","Frequency","2000","movie","118","7.3","99592"
"tt0187393","The Patriot","2000","movie","165","7.2","251033"
"tt0188350","The New Country","2000","tvMovie","232","7.3","1460"
"tt0190332","Crouching Tiger, Hidden Dragon","2000","movie","120","7.8","249833"
