"tt0118694","0","Szerelemre hangolva","HU",NULL,"0"
"tt0118694","1","Con ánimo de amar","PE",NULL,"0"
"tt0118694","2","Fa yeung nin wah","AU",NULL,"0"
"tt0118694","3","Fa Yeung Nin Wah","CA","en","0"
"tt0118694","4","Raspoloženi za ljubav","HR",NULL,"0"
"tt0118694","5","Disponível Para Amar","PT",NULL,"0"
"tt0118694","6","Les silences du désir","CA","fr","0"
"tt0118694","7","Aşk Zamanı","TR","tr","0"
"tt0118694","8","In the Mood for Love","IN","hi","0"
"tt0118694","9","Dar hal va havaye eshgh","IR","fa","0"
"tt0118694","10","In the Mood for Love - Der Klang der Liebe","DE",NULL,"0"
"tt0118694","11","Spragnieni miłości","PL",NULL,"0"
"tt0118694","12","In the Mood for Love","HK","en","0"
"tt0118694","13","Desitjant estimar","ES","ca","0"
"tt0118694","14","In the Mood for Love","DK",NULL,"0"
"tt0118694","15","Любовное настроение","RU",NULL,"0"
"tt0118694","16","Meilės laukimas","LT",NULL,"0"
"tt0118694","17","Stvořeni pro lásku","CZ",NULL,"0"
"tt0118694","18","Kayô nenka","JP",NULL,"0"
"tt0118694","19","In the Mood for Love","XWW","en","0"
"tt0118694","20","In the Mood for Love","AU",NULL,"0"
"tt0118694","21","Любовний настрій","UA",NULL,"0"
"tt0118694","22","Flower Like Years","HK","en","0"
"tt0118694","23","Fa yeung nin wah",NULL,NULL,"1"
"tt0118694","24","Ερωτική επιθυμία","GR",NULL,"0"
"tt0118694","25","In the Mood for Love","IT",NULL,"0"
"tt0118694","26","In the Mood for Love","FR",NULL,"0"
"tt0118694","27","Deseando amar","ES",NULL,"0"
"tt0118694","28","Hua yang nian hua","HK","cmn","0"
"tt0118694","29","Расположени за љубав","RS",NULL,"0"
"tt0118694","30","Deseando amar","MX",NULL,"0"
"tt0118694","31","In the Mood for Love","US",NULL,"0"
"tt0118694","32","Amor à Flor da Pele","BR",NULL,"0"
"tt0118694","33","Con ánimo de amar","AR",NULL,"0"
"tt0118694","34","花様年華","JP","ja","0"
"tt0118694","35","Con ánimo de amar","UY",NULL,"0"
"tt0118694","36","花樣年華","TW",NULL,"0"
"tt0118694","37","In the Mood for Love","ES",NULL,"0"
"tt0118694","38","Fi mezaj lelhob","EG","ar","0"
